customer_id,rec_1,rec_2,rec_3,rec_4,rec_5
WMT_40654,Marketside Baby Spinach 5oz,,,,
WMT_45753,Green Bell Pepper each,Roma Tomatoes per lb,,,
WMT_10042,Great Value Canola Oil 48oz,,,,
WMT_33107,Marketside Baby Spinach 5oz,,,,
WMT_30132,Avocado Hass each,Heinz Tomato Ketchup 32oz,,,
WMT_08266,Broccoli Crowns per lb,Baby Carrots 1lb Bag,,,
WMT_43044,Great Value Spaghetti 16oz,Avocado Hass each,Marketside Baby Spinach 5oz,Lemon each,
WMT_07140,Cucumber each,,,,
WMT_01035,Avocado Hass each,,,,
WMT_09741,Great Value Canola Oil 48oz,,,,
WMT_45885,Great Value Extra Virgin Olive Oil 17oz,,,,
WMT_36403,Russet Potatoes 5lb Bag,Kraft Mac and Cheese Original 7.25oz,,,
WMT_41172,Great Value American Cheese Slices 16oz,Great Value Greek Yogurt Plain 32oz,,,
WMT_19264,Green Bell Pepper each,,,,
WMT_32040,Marketside Organic Bananas 3lb,Great Value Large Eggs 12ct,Great Value Unsalted Butter 1lb,Great Value Sliced Bacon 16oz,
WMT_26024,Hunts Diced Tomatoes 14.5oz,Marketside Baby Spinach 5oz,Yellow Onion 3lb Bag,,
WMT_36682,Garlic Bulb 3-Pack,Atlantic Salmon Fillet per lb,,,
WMT_43078,Great Value Long Grain White Rice 5lb,,,,
WMT_31755,Marketside Baby Spinach 5oz,Celery Stalk bunch,,,
WMT_45847,Great Value Greek Yogurt Plain 32oz,Daisy Sour Cream 16oz,,,
WMT_02350,Roma Tomatoes per lb,,,,
WMT_16008,Garlic Bulb 3-Pack,Philadelphia Original Cream Cheese 8oz,,,
WMT_12674,Great Value Dish Soap Original 24oz,,,,
WMT_45437,Tide Simply Liquid Laundry Det 46oz,,,,
WMT_16991,Marketside Organic Bananas 3lb,,,,
WMT_09351,Lemon each,Marketside Organic Bananas 3lb,Great Value Sugar Granulated 4lb,Campbells Tomato Soup 10.75oz,
WMT_16910,Green Bell Pepper each,Campbells Tomato Soup 10.75oz,Heinz Tomato Ketchup 32oz,,
WMT_01200,Great Value Spaghetti 16oz,,,,
WMT_30315,Russet Potatoes 5lb Bag,Philadelphia Original Cream Cheese 8oz,,,
WMT_29853,Kraft Mac and Cheese Original 7.25oz,,,,
WMT_01796,Kraft Mac and Cheese Original 7.25oz,Heinz Tomato Ketchup 32oz,,,
WMT_26816,Heinz Tomato Ketchup 32oz,Lemon each,Marketside Organic Bananas 3lb,,
WMT_46541,Avocado Hass each,,,,
WMT_33913,Marketside Baby Spinach 5oz,Hunts Diced Tomatoes 14.5oz,Marketside Shredded Cheddar 8oz,,
WMT_17077,Heinz Tomato Ketchup 32oz,Great Value Greek Yogurt Plain 32oz,,,
WMT_34246,Cucumber each,Roma Tomatoes per lb,Great Value Spaghetti 16oz,Great Value Extra Virgin Olive Oil 17oz,Great Value Canola Oil 48oz
WMT_10822,Garlic Bulb 3-Pack,Great Value Large Eggs 12ct,Marketside Shredded Cheddar 8oz,,
WMT_05528,Yellow Onion 3lb Bag,,,,
WMT_19267,Great Value Long Grain White Rice 5lb,Great Value Whole Milk 1 Gal,Avocado Hass each,Cucumber each,Baby Carrots 1lb Bag
WMT_35739,Broccoli Crowns per lb,,,,
WMT_49737,Great Value 2% Reduced Fat Milk 1 Gal,,,,
WMT_14075,Roma Tomatoes per lb,,,,
WMT_22567,Broccoli Crowns per lb,Marketside Baby Spinach 5oz,Great Value Whole Milk 1 Gal,,
WMT_13605,Lemon each,,,,
WMT_10125,Campbells Tomato Soup 10.75oz,Broccoli Crowns per lb,Marketside Baby Spinach 5oz,,
WMT_49736,Great Value Chicken Broth 32oz,Green Bell Pepper each,Garlic Bulb 3-Pack,Yellow Onion 3lb Bag,Russet Potatoes 5lb Bag
WMT_09316,Yellow Onion 3lb Bag,Hunts Diced Tomatoes 14.5oz,Great Value Large Eggs 12ct,Ritz Original Crackers 13.7oz,
WMT_22197,Great Value Sugar Granulated 4lb,,,,
WMT_43798,Russet Potatoes 5lb Bag,,,,
WMT_25965,Yellow Onion 3lb Bag,Great Value Unsalted Butter 1lb,,,
WMT_25743,Great Value Extra Virgin Olive Oil 17oz,,,,
WMT_34318,Green Bell Pepper each,,,,
WMT_19562,Great Value Sugar Granulated 4lb,Campbells Tomato Soup 10.75oz,Great Value 80/20 Ground Beef 1lb,,
WMT_00939,Celery Stalk bunch,Kraft Mac and Cheese Original 7.25oz,Great Value Sugar Granulated 4lb,,
WMT_18500,Celery Stalk bunch,Daisy Sour Cream 16oz,,,
WMT_35260,Marketside Organic Bananas 3lb,,,,
WMT_35765,Garlic Bulb 3-Pack,Heinz Tomato Ketchup 32oz,Great Value Long Grain White Rice 5lb,,
WMT_15069,Cucumber each,Great Value Greek Yogurt Plain 32oz,,,
WMT_09414,Baby Carrots 1lb Bag,,,,
WMT_08999,Avocado Hass each,,,,
WMT_30415,Roma Tomatoes per lb,Yellow Onion 3lb Bag,Marketside Organic Bananas 3lb,,
WMT_32671,Great Value All Purpose Flour 5lb,Great Value Penne Pasta 16oz,,,
WMT_40019,Baby Carrots 1lb Bag,,,,
WMT_02946,Daisy Sour Cream 16oz,,,,
WMT_42617,Great Value Chicken Broth 32oz,,,,
WMT_27475,Roma Tomatoes per lb,Great Value Sugar Granulated 4lb,,,
WMT_02296,Yellow Onion 3lb Bag,Great Value Penne Pasta 16oz,,,
WMT_46226,Heinz Tomato Ketchup 32oz,Daisy Sour Cream 16oz,,,
WMT_28341,Avocado Hass each,Great Value Chicken Broth 32oz,Pork Loin Chops Boneless per lb,,
WMT_03450,Great Value Sugar Granulated 4lb,,,,
WMT_07152,Great Value All Purpose Flour 5lb,,,,
WMT_09638,Great Value Greek Yogurt Plain 32oz,,,,
WMT_42028,Baby Carrots 1lb Bag,Great Value 2% Reduced Fat Milk 1 Gal,,,
WMT_42918,Daisy Sour Cream 16oz,,,,
WMT_24912,Great Value Extra Virgin Olive Oil 17oz,Marketside Baby Spinach 5oz,Russet Potatoes 5lb Bag,Glad ForceFlex Trash Bags 30 Gal 25ct,
WMT_06478,Cucumber each,Marketside Organic Bananas 3lb,,,
WMT_45033,Garlic Bulb 3-Pack,Russet Potatoes 5lb Bag,,,
WMT_46141,Broccoli Crowns per lb,Hunts Diced Tomatoes 14.5oz,,,
WMT_39688,Yellow Onion 3lb Bag,,,,
WMT_44327,Hunts Diced Tomatoes 14.5oz,Great Value Chicken Broth 32oz,Marketside Shredded Cheddar 8oz,Marketside Fresh Mozzarella 8oz,
WMT_43324,Green Bell Pepper each,,,,
WMT_49974,Great Value Canola Oil 48oz,,,,
WMT_25321,Avocado Hass each,Heinz Tomato Ketchup 32oz,Roma Tomatoes per lb,,
WMT_12815,Marketside Organic Bananas 3lb,,,,
WMT_01837,Cucumber each,,,,
WMT_38096,Garlic Bulb 3-Pack,Kraft Mac and Cheese Original 7.25oz,Great Value Sugar Granulated 4lb,Lays Classic Potato Chips 8oz,
WMT_21373,Great Value Greek Yogurt Plain 32oz,,,,
WMT_33515,Kraft Mac and Cheese Original 7.25oz,Great Value Extra Virgin Olive Oil 17oz,,,
WMT_14880,Green Bell Pepper each,Great Value Unsalted Butter 1lb,,,
WMT_25312,Great Value Long Grain White Rice 5lb,Marketside Fresh Mozzarella 8oz,,,
WMT_42695,Great Value Sugar Granulated 4lb,Broccoli Crowns per lb,Baby Carrots 1lb Bag,,
WMT_47736,Roma Tomatoes per lb,Kraft Mac and Cheese Original 7.25oz,,,
WMT_37006,Baby Carrots 1lb Bag,Marketside Organic Bananas 3lb,,,
WMT_14040,Great Value All Purpose Flour 5lb,Baby Carrots 1lb Bag,Roma Tomatoes per lb,,
WMT_10924,Great Value Extra Virgin Olive Oil 17oz,,,,
WMT_41393,Broccoli Crowns per lb,Celery Stalk bunch,Marketside Shredded Cheddar 8oz,,
WMT_22031,Roma Tomatoes per lb,Yellow Onion 3lb Bag,Russet Potatoes 5lb Bag,,
WMT_41676,Great Value Paper Towels 6 Double Rolls,,,,
WMT_07680,Great Value Greek Yogurt Plain 32oz,Atlantic Salmon Fillet per lb,,,
WMT_39207,Marketside Baby Spinach 5oz,Hunts Diced Tomatoes 14.5oz,Pork Loin Chops Boneless per lb,,
WMT_21398,Celery Stalk bunch,Great Value All Purpose Flour 5lb,Great Value Unsalted Butter 1lb,,
WMT_17728,Great Value Honey Nut Toasted Oats 27oz,,,,
WMT_31301,Great Value Whole Milk 1 Gal,,,,
WMT_07568,Avocado Hass each,Kraft Mac and Cheese Original 7.25oz,Great Value Extra Virgin Olive Oil 17oz,,
WMT_31498,Heinz Tomato Ketchup 32oz,,,,
WMT_06525,Green Bell Pepper each,Great Value Long Grain White Rice 5lb,Celery Stalk bunch,,
WMT_33848,Marketside Baby Spinach 5oz,Campbells Tomato Soup 10.75oz,Tide Simply Liquid Laundry Det 46oz,,
WMT_29216,Broccoli Crowns per lb,Celery Stalk bunch,,,
WMT_06889,Great Value Chicken Broth 32oz,,,,
WMT_40964,Great Value Sugar Granulated 4lb,,,,
WMT_08481,Green Bell Pepper each,Garlic Bulb 3-Pack,Marketside Organic Bananas 3lb,,
WMT_13242,Garlic Bulb 3-Pack,,,,
WMT_27047,Marketside Baby Spinach 5oz,Kraft Mac and Cheese Original 7.25oz,,,
WMT_15065,Great Value Canola Oil 48oz,Great Value 100% Orange Juice 52oz,Great Value Honey Nut Toasted Oats 27oz,,
WMT_03413,Great Value Sugar Granulated 4lb,,,,
WMT_27054,Garlic Bulb 3-Pack,Marketside Shredded Cheddar 8oz,Daisy Sour Cream 16oz,Marketside Fresh Mozzarella 8oz,
WMT_33202,Avocado Hass each,Hunts Diced Tomatoes 14.5oz,Great Value Long Grain White Rice 5lb,,
WMT_08438,Cucumber each,,,,
WMT_00564,Daisy Sour Cream 16oz,,,,
WMT_18051,Great Value Large Eggs 12ct,,,,
WMT_02247,Great Value Extra Virgin Olive Oil 17oz,,,,
WMT_32532,Green Bell Pepper each,Campbells Tomato Soup 10.75oz,,,
WMT_12900,Great Value Penne Pasta 16oz,Great Value Large Eggs 12ct,,,
WMT_27315,Great Value Penne Pasta 16oz,Roma Tomatoes per lb,Lemon each,Great Value Honey Nut Toasted Oats 27oz,
WMT_07732,Great Value Whole Milk 1 Gal,Great Value Frozen Broccoli Florets 12oz,,,
WMT_47336,Broccoli Crowns per lb,Heinz Tomato Ketchup 32oz,Marketside Baby Spinach 5oz,,
WMT_41160,Roma Tomatoes per lb,Great Value Greek Yogurt Plain 32oz,,,
WMT_26934,Garlic Bulb 3-Pack,,,,
WMT_01427,Marketside Organic Bananas 3lb,,,,
WMT_28640,Great Value Sugar Granulated 4lb,,,,
WMT_22398,Cucumber each,,,,
WMT_35510,Broccoli Crowns per lb,Lemon each,,,
WMT_14406,Heinz Tomato Ketchup 32oz,Tilapia Fillets per lb,,,
WMT_24194,Kraft Mac and Cheese Original 7.25oz,Broccoli Crowns per lb,Yellow Onion 3lb Bag,,
WMT_28581,Yellow Onion 3lb Bag,Great Value Extra Virgin Olive Oil 17oz,,,
WMT_45136,Russet Potatoes 5lb Bag,Hunts Diced Tomatoes 14.5oz,,,
WMT_44253,Baby Carrots 1lb Bag,Garlic Bulb 3-Pack,,,
WMT_33367,Great Value Spaghetti 16oz,Kraft Mac and Cheese Original 7.25oz,,,
WMT_32763,Great Value Greek Yogurt Plain 32oz,Great Value Purified Water 40pk 16.9oz,,,
WMT_28554,Hunts Diced Tomatoes 14.5oz,Great Value Chicken Broth 32oz,Marketside Fresh Mozzarella 8oz,,
WMT_15589,Great Value Chicken Broth 32oz,,,,
WMT_41174,Hunts Diced Tomatoes 14.5oz,Great Value Canola Oil 48oz,Heinz Tomato Ketchup 32oz,,
WMT_40891,Campbells Tomato Soup 10.75oz,,,,
WMT_26038,Great Value Canola Oil 48oz,,,,
WMT_15899,Yellow Onion 3lb Bag,Great Value Spaghetti 16oz,,,
WMT_11527,Broccoli Crowns per lb,,,,
WMT_00348,Celery Stalk bunch,Great Value Spaghetti 16oz,,,
WMT_20635,Lemon each,Quaker Old Fashioned Oats 42oz,,,
WMT_09633,Great Value Canola Oil 48oz,Marketside Fresh Mozzarella 8oz,,,
WMT_07598,Avocado Hass each,Roma Tomatoes per lb,,,
WMT_04170,Garlic Bulb 3-Pack,,,,
WMT_00461,Great Value Canola Oil 48oz,,,,
WMT_21162,Yellow Onion 3lb Bag,,,,
WMT_36196,Avocado Hass each,Great Value Sugar Granulated 4lb,,,
WMT_33687,Broccoli Crowns per lb,,,,
WMT_27769,Marketside Organic Bananas 3lb,Great Value Chicken Broth 32oz,,,
WMT_49091,Great Value Extra Virgin Olive Oil 17oz,,,,
WMT_16375,Green Bell Pepper each,,,,
WMT_26948,Roma Tomatoes per lb,Lemon each,Marketside Organic Bananas 3lb,,
WMT_19065,Green Bell Pepper each,Great Value Unsalted Butter 1lb,,,
WMT_21604,Garlic Bulb 3-Pack,Hunts Diced Tomatoes 14.5oz,,,
WMT_07419,Marketside Baby Spinach 5oz,Marketside Shredded Cheddar 8oz,,,
WMT_14029,Russet Potatoes 5lb Bag,Great Value Extra Virgin Olive Oil 17oz,,,
WMT_03959,Great Value All Purpose Flour 5lb,,,,
WMT_18783,Hunts Diced Tomatoes 14.5oz,Great Value Extra Virgin Olive Oil 17oz,Great Value Sugar Granulated 4lb,,
WMT_31021,Kraft Mac and Cheese Original 7.25oz,Heinz Tomato Ketchup 32oz,,,
WMT_03913,Campbells Tomato Soup 10.75oz,Great Value Long Grain White Rice 5lb,,,
WMT_39063,Heinz Tomato Ketchup 32oz,,,,
WMT_21098,Green Bell Pepper each,Great Value Spaghetti 16oz,,,
WMT_33628,Cucumber each,,,,
WMT_18182,Garlic Bulb 3-Pack,Great Value All Purpose Flour 5lb,,,
WMT_08043,Cucumber each,Great Value Chicken Broth 32oz,,,
WMT_45940,Great Value Long Grain White Rice 5lb,,,,
WMT_46477,Cucumber each,Great Value Chicken Broth 32oz,Great Value 2% Reduced Fat Milk 1 Gal,,
WMT_29295,Hunts Diced Tomatoes 14.5oz,,,,
WMT_26608,Avocado Hass each,Baby Carrots 1lb Bag,,,
WMT_11284,Green Bell Pepper each,,,,
WMT_20151,Great Value Sliced Bacon 16oz,,,,
WMT_22264,Great Value All Purpose Flour 5lb,,,,
WMT_02720,Celery Stalk bunch,,,,
WMT_06189,Great Value Long Grain White Rice 5lb,,,,
WMT_03118,Great Value Greek Yogurt Plain 32oz,,,,
WMT_42728,Cucumber each,,,,
WMT_49264,Russet Potatoes 5lb Bag,Heinz Tomato Ketchup 32oz,,,
WMT_17973,Roma Tomatoes per lb,Marketside Shredded Cheddar 8oz,Great Value 2% Reduced Fat Milk 1 Gal,Tide Simply Liquid Laundry Det 46oz,
WMT_16289,Roma Tomatoes per lb,Great Value Whole Milk 1 Gal,,,
WMT_40098,Marketside Baby Spinach 5oz,Yellow Onion 3lb Bag,Marketside Fresh Mozzarella 8oz,,
WMT_44429,Avocado Hass each,,,,
WMT_32025,Baby Carrots 1lb Bag,,,,
WMT_48593,Roma Tomatoes per lb,Kraft Mac and Cheese Original 7.25oz,,,
WMT_08010,Kraft Mac and Cheese Original 7.25oz,Great Value Penne Pasta 16oz,Great Value Long Grain White Rice 5lb,,
WMT_00695,Great Value All Purpose Flour 5lb,Broccoli Crowns per lb,Baby Carrots 1lb Bag,Russet Potatoes 5lb Bag,Great Value Unsalted Butter 1lb
WMT_25508,Heinz Tomato Ketchup 32oz,Marketside Shredded Cheddar 8oz,,,
WMT_36384,Russet Potatoes 5lb Bag,,,,
WMT_47683,Avocado Hass each,Baby Carrots 1lb Bag,,,
WMT_35802,Lemon each,,,,
WMT_10250,Broccoli Crowns per lb,Great Value Toilet Paper 12 Rolls,,,
WMT_16897,Great Value Extra Virgin Olive Oil 17oz,,,,
WMT_22966,Yellow Onion 3lb Bag,Great Value Extra Virgin Olive Oil 17oz,Great Value Dish Soap Original 24oz,,
WMT_34031,Green Bell Pepper each,Garlic Bulb 3-Pack,Yellow Onion 3lb Bag,Kraft Mac and Cheese Original 7.25oz,Heinz Tomato Ketchup 32oz
WMT_31067,Great Value Chicken Broth 32oz,Daisy Sour Cream 16oz,Philadelphia Original Cream Cheese 8oz,,
WMT_06922,Campbells Tomato Soup 10.75oz,,,,
WMT_03792,Avocado Hass each,Russet Potatoes 5lb Bag,,,
WMT_24149,Great Value All Purpose Flour 5lb,Great Value Canola Oil 48oz,,,
WMT_35601,Kraft Mac and Cheese Original 7.25oz,,,,
WMT_37106,Yellow Onion 3lb Bag,,,,
WMT_27893,Great Value Sugar Granulated 4lb,,,,
WMT_15819,Hunts Diced Tomatoes 14.5oz,,,,
WMT_15086,Hunts Diced Tomatoes 14.5oz,,,,
WMT_10359,Great Value Sugar Granulated 4lb,,,,
WMT_01799,Marketside Fresh Mozzarella 8oz,,,,
WMT_06225,Great Value Sugar Granulated 4lb,Roma Tomatoes per lb,Celery Stalk bunch,,
WMT_01169,Heinz Tomato Ketchup 32oz,,,,
WMT_31374,Amy's Organic Burrito Bean Cheese,,,,
WMT_11777,Green Bell Pepper each,Great Value All Purpose Flour 5lb,Heinz Tomato Ketchup 32oz,Stouffers Lasagna with Meat Sauce 10oz,
WMT_12962,Russet Potatoes 5lb Bag,Great Value American Cheese Slices 16oz,,,
WMT_31158,Marketside Organic Bananas 3lb,Heinz Tomato Ketchup 32oz,,,
WMT_36650,Green Bell Pepper each,Baby Carrots 1lb Bag,Great Value Large Eggs 12ct,,
WMT_31856,Heinz Tomato Ketchup 32oz,,,,
WMT_08677,Great Value Unsalted Butter 1lb,,,,
WMT_42242,Great Value Large Eggs 12ct,,,,
WMT_41282,Cucumber each,Kraft Mac and Cheese Original 7.25oz,,,
WMT_28721,Great Value Canola Oil 48oz,,,,
WMT_00284,Celery Stalk bunch,Great Value Unsalted Butter 1lb,,,
WMT_47816,Hunts Diced Tomatoes 14.5oz,,,,
WMT_00600,Garlic Bulb 3-Pack,Marketside Baby Spinach 5oz,Great Value Long Grain White Rice 5lb,,
WMT_34409,Great Value Frozen Broccoli Florets 12oz,,,,
WMT_18283,Garlic Bulb 3-Pack,,,,
WMT_44477,Marketside Baby Spinach 5oz,,,,
WMT_38172,Avocado Hass each,Kraft Mac and Cheese Original 7.25oz,,,
WMT_32416,Green Bell Pepper each,Kraft Mac and Cheese Original 7.25oz,Campbells Tomato Soup 10.75oz,,
WMT_13927,Great Value American Cheese Slices 16oz,,,,
WMT_39982,Great Value American Cheese Slices 16oz,,,,
WMT_17837,Great Value Spaghetti 16oz,Campbells Tomato Soup 10.75oz,Great Value Trash Bags 13 Gal 50ct,,
WMT_27602,Celery Stalk bunch,,,,
WMT_05843,Avocado Hass each,Great Value All Purpose Flour 5lb,Great Value Unsalted Butter 1lb,,
WMT_15351,Broccoli Crowns per lb,Great Value Long Grain White Rice 5lb,,,
WMT_03689,Celery Stalk bunch,,,,
WMT_43502,Lemon each,,,,
WMT_17306,Avocado Hass each,Great Value Penne Pasta 16oz,Marketside Baby Spinach 5oz,,
WMT_24379,Lemon each,,,,
WMT_05611,Marketside Organic Bananas 3lb,,,,
WMT_15807,Green Bell Pepper each,,,,
WMT_28062,Green Bell Pepper each,Great Value Unsalted Butter 1lb,,,
WMT_26051,Broccoli Crowns per lb,,,,
WMT_00401,Marketside Baby Spinach 5oz,Campbells Tomato Soup 10.75oz,,,
WMT_21142,Avocado Hass each,Green Bell Pepper each,,,
WMT_48427,Great Value Sugar Granulated 4lb,Great Value Long Grain White Rice 5lb,,,
WMT_04098,Yellow Onion 3lb Bag,Philadelphia Original Cream Cheese 8oz,Bounty Select-A-Size Paper Towels 8 Rolls,,
WMT_40448,Great Value Whole Milk 1 Gal,,,,
WMT_45575,Marketside Organic Bananas 3lb,Campbells Tomato Soup 10.75oz,Great Value Penne Pasta 16oz,,
WMT_20561,Lemon each,Heinz Tomato Ketchup 32oz,Great Value Toilet Paper 12 Rolls,,
WMT_05319,Yellow Onion 3lb Bag,Celery Stalk bunch,Great Value American Cheese Slices 16oz,,
WMT_06069,Philadelphia Original Cream Cheese 8oz,,,,
WMT_49676,Cucumber each,Birds Eye Steamfresh Mixed Veggies 10oz,,,
WMT_03099,Baby Carrots 1lb Bag,Garlic Bulb 3-Pack,Yellow Onion 3lb Bag,Great Value Granola Bars Oats Honey 8ct,
WMT_10692,Marketside Baby Spinach 5oz,,,,
WMT_37268,Green Bell Pepper each,Great Value American Cheese Slices 16oz,,,
WMT_10353,Great Value Unsalted Butter 1lb,,,,
WMT_07802,Kraft Mac and Cheese Original 7.25oz,Great Value Thin Sliced Turkey 9oz,Bounty Select-A-Size Paper Towels 8 Rolls,,
WMT_00851,Marketside Fresh Mozzarella 8oz,,,,
WMT_08449,Baby Carrots 1lb Bag,Yellow Onion 3lb Bag,,,
WMT_39197,Great Value Whole Milk 1 Gal,,,,
WMT_21415,Great Value 2% Reduced Fat Milk 1 Gal,,,,
WMT_45022,Great Value All Purpose Flour 5lb,Daisy Sour Cream 16oz,Great Value Sliced Bacon 16oz,,
WMT_40792,Yellow Onion 3lb Bag,,,,
WMT_23539,Marketside Organic Bananas 3lb,Great Value Greek Yogurt Plain 32oz,,,
WMT_25015,Kraft Mac and Cheese Original 7.25oz,Garlic Bulb 3-Pack,Marketside Baby Spinach 5oz,Great Value Sliced Bacon 16oz,
WMT_27160,Great Value Chicken Broth 32oz,,,,
WMT_37862,Campbells Tomato Soup 10.75oz,Great Value American Cheese Slices 16oz,,,
WMT_14179,Broccoli Crowns per lb,Great Value Chicken Broth 32oz,,,
WMT_09936,Kraft Mac and Cheese Original 7.25oz,,,,
WMT_41361,Roma Tomatoes per lb,Marketside Baby Spinach 5oz,Great Value Sliced Bacon 16oz,,
WMT_41622,Avocado Hass each,Great Value Extra Virgin Olive Oil 17oz,Great Value Large Eggs 12ct,,
WMT_06346,Cucumber each,Great Value Greek Yogurt Plain 32oz,,,
WMT_04802,Baby Carrots 1lb Bag,,,,
WMT_30909,Great Value 2% Reduced Fat Milk 1 Gal,Marketside Fresh Mozzarella 8oz,,,
WMT_47343,Baby Carrots 1lb Bag,,,,
WMT_32495,Great Value Unsalted Butter 1lb,,,,
WMT_24759,Baby Carrots 1lb Bag,Hunts Diced Tomatoes 14.5oz,,,
WMT_30865,Broccoli Crowns per lb,Campbells Tomato Soup 10.75oz,,,
WMT_07497,Cucumber each,Great Value Spaghetti 16oz,Marketside Fresh Mozzarella 8oz,,
WMT_32642,Roma Tomatoes per lb,Lemon each,Tide Simply Liquid Laundry Det 46oz,,
WMT_10341,Avocado Hass each,Garlic Bulb 3-Pack,Russet Potatoes 5lb Bag,,
WMT_41384,Great Value Extra Virgin Olive Oil 17oz,,,,
WMT_42451,Avocado Hass each,Kraft Mac and Cheese Original 7.25oz,,,
WMT_13742,Yellow Onion 3lb Bag,Russet Potatoes 5lb Bag,Celery Stalk bunch,,
WMT_38122,Roma Tomatoes per lb,Yellow Onion 3lb Bag,Great Value All Purpose Flour 5lb,Great Value Long Grain White Rice 5lb,
WMT_39469,Heinz Tomato Ketchup 32oz,,,,
WMT_49399,Great Value Chicken Broth 32oz,,,,
WMT_12965,Yellow Onion 3lb Bag,Great Value Sugar Granulated 4lb,,,
WMT_13316,Marketside Organic Bananas 3lb,Great Value Spaghetti 16oz,Hunts Diced Tomatoes 14.5oz,Pork Loin Chops Boneless per lb,
WMT_41578,Great Value Spaghetti 16oz,Kraft Mac and Cheese Original 7.25oz,Great Value Penne Pasta 16oz,Great Value Dish Soap Original 24oz,
WMT_14866,Lemon each,Amy's Organic Burrito Bean Cheese,,,
WMT_46704,Avocado Hass each,,,,
WMT_39961,Great Value Spaghetti 16oz,Great Value Chicken Broth 32oz,Heinz Tomato Ketchup 32oz,,
WMT_13482,Broccoli Crowns per lb,Celery Stalk bunch,,,
WMT_02678,Great Value Large Eggs 12ct,,,,
WMT_24671,Lemon each,Marketside Organic Bananas 3lb,,,
WMT_08207,Kraft Mac and Cheese Original 7.25oz,Great Value Chicken Broth 32oz,,,
WMT_11701,Marketside Organic Bananas 3lb,Tide Simply Liquid Laundry Det 46oz,,,
WMT_39681,Lemon each,Yellow Onion 3lb Bag,Philadelphia Original Cream Cheese 8oz,Atlantic Salmon Fillet per lb,
WMT_00515,Broccoli Crowns per lb,Great Value Canola Oil 48oz,Great Value Large Eggs 12ct,,
WMT_44213,Hunts Diced Tomatoes 14.5oz,,,,
WMT_48258,Cucumber each,Russet Potatoes 5lb Bag,,,
WMT_27667,Lemon each,,,,
WMT_23825,Hunts Diced Tomatoes 14.5oz,Baby Carrots 1lb Bag,Garlic Bulb 3-Pack,,
WMT_40095,Great Value Sugar Granulated 4lb,,,,
WMT_20715,Hunts Diced Tomatoes 14.5oz,Green Bell Pepper each,Cucumber each,Russet Potatoes 5lb Bag,
WMT_09730,Cucumber each,Great Value Whole Milk 1 Gal,,,
WMT_48127,Marketside Baby Spinach 5oz,Great Value Paper Towels 6 Double Rolls,,,
WMT_34549,Yellow Onion 3lb Bag,,,,
WMT_41991,Broccoli Crowns per lb,Great Value Long Grain White Rice 5lb,,,
WMT_19393,Marketside Organic Bananas 3lb,,,,
WMT_00011,Great Value Spaghetti 16oz,Philadelphia Original Cream Cheese 8oz,,,
WMT_41058,Lemon each,Marketside Organic Bananas 3lb,,,
WMT_09896,Great Value Chicken Broth 32oz,,,,
WMT_44850,Marketside Baby Spinach 5oz,Lemon each,,,
WMT_12700,Marketside Organic Bananas 3lb,,,,
WMT_48400,Great Value Canola Oil 48oz,Heinz Tomato Ketchup 32oz,,,
WMT_20472,Green Bell Pepper each,Hunts Diced Tomatoes 14.5oz,,,
WMT_01971,Great Value Sugar Granulated 4lb,,,,
WMT_02183,Great Value All Purpose Flour 5lb,Great Value Chicken Broth 32oz,,,
WMT_48154,Marketside Organic Bananas 3lb,Hunts Diced Tomatoes 14.5oz,,,
WMT_34218,Green Bell Pepper each,Tilapia Fillets per lb,,,
WMT_21759,Roma Tomatoes per lb,Great Value Sugar Granulated 4lb,,,
WMT_28242,Avocado Hass each,Tide Simply Liquid Laundry Det 46oz,,,
WMT_12073,Avocado Hass each,,,,
WMT_39838,Great Value All Purpose Flour 5lb,,,,
WMT_22625,Russet Potatoes 5lb Bag,Hunts Diced Tomatoes 14.5oz,Great Value All Purpose Flour 5lb,Great Value Large Eggs 12ct,
WMT_32717,Heinz Tomato Ketchup 32oz,,,,
WMT_48541,Avocado Hass each,,,,
WMT_13026,Great Value All Purpose Flour 5lb,Great Value Extra Virgin Olive Oil 17oz,,,
WMT_14401,Heinz Tomato Ketchup 32oz,,,,
WMT_45553,Baby Carrots 1lb Bag,Celery Stalk bunch,Campbells Tomato Soup 10.75oz,Great Value Canola Oil 48oz,Marketside Fresh Mozzarella 8oz
WMT_03563,Marketside Baby Spinach 5oz,Great Value Spaghetti 16oz,Great Value Paper Towels 6 Double Rolls,,
WMT_17915,Cucumber each,Great Value Extra Virgin Olive Oil 17oz,Great Value Canola Oil 48oz,,
WMT_02213,Marketside Organic Bananas 3lb,Great Value Spaghetti 16oz,,,
WMT_15760,Roma Tomatoes per lb,,,,
WMT_14110,Great Value 2% Reduced Fat Milk 1 Gal,,,,
WMT_36997,Green Bell Pepper each,Great Value Spaghetti 16oz,Great Value Large Eggs 12ct,,
WMT_45927,Marketside Organic Bananas 3lb,Campbells Tomato Soup 10.75oz,Great Value Unsalted Butter 1lb,,
WMT_04390,Russet Potatoes 5lb Bag,,,,
WMT_37954,Marketside Baby Spinach 5oz,,,,
WMT_31167,Marketside Organic Bananas 3lb,,,,
WMT_01941,Great Value Extra Virgin Olive Oil 17oz,Great Value Unsalted Butter 1lb,Great Value Whole Milk 1 Gal,,
